Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
1,536,de,12489298,0.0786132646,7.861326,12489298,7.861326
2,537,la,7014316,0.0441512629,4.415126,19503614,12.276453
3,538,en,5202766,0.0327485516,3.274855,24706380,15.551308
4,539,el,4749108,0.0298930239,2.989302,29455488,18.540610
5,540,que,3286742,0.0206882339,2.068823,32742230,20.609434
6,541,los,2678131,0.0168573623,1.685736,35420361,22.295170
7,542,del,2212526,0.0139266348,1.392663,37632887,23.687833
8,543,se,2031759,0.0127888059,1.278881,39664646,24.966714
9,544,las,1836245,0.0115581528,1.155815,41500891,26.122529
10,545,por,1545050,0.0097252403,0.972524,43045941,27.095053
11,546,un,1445891,0.0091010889,0.910109,44491832,28.005162
12,547,con,1410889,0.0088807706,0.888077,45902721,28.893239
13,548,una,1312018,0.0082584320,0.825843,47214739,29.719082
14,549,su,1038514,0.0065368747,0.653687,48253253,30.372770
15,550,para,1029231,0.0064784433,0.647844,49282484,31.020614
16,551,como,1012184,0.0063711418,0.637114,50294668,31.657728
17,552,es,954696,0.0060092865,0.600929,51249364,32.258657
18,553,al,948084,0.0059676675,0.596767,52197448,32.855424
19,554,no,763196,0.0048038992,0.480390,52960644,33.335814
20,555,más,559106,0.0035192649,0.351926,53519750,33.687740
21,556,lo,547009,0.0034431209,0.344312,54066759,34.032052
22,557,the,477740,0.0030071107,0.300711,54544499,34.332763
23,558,sus,399673,0.0025157218,0.251572,54944172,34.584336
24,559,entre,397292,0.0025007347,0.250073,55341464,34.834409
25,560,fue,379715,0.0023900972,0.239010,55721179,35.073419
26,561,of,370641,0.0023329813,0.233298,56091820,35.306717
27,562,este,348563,0.0021940125,0.219401,56440383,35.526118
28,563,también,294413,0.0018531680,0.185317,56734796,35.711435
29,564,sobre,293374,0.0018466280,0.184663,57028170,35.896098
30,565,son,280173,0.0017635350,0.176354,57308343,36.072451
31,566,esta,270947,0.0017054624,0.170546,57579290,36.242998
