Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
1,537,que,30242,0.0549424995,5.494250,30242,5.494250
2,538,de,26379,0.0479243501,4.792435,56621,10.286685
3,539,la,15307,0.0278091674,2.780917,71928,13.067602
4,540,en,12330,0.0224006686,2.240067,84258,15.307669
5,541,el,12062,0.0219137765,2.191378,96320,17.499046
6,542,no,10408,0.0189088531,1.890885,106728,19.389932
7,543,con,6680,0.0121359664,1.213597,113408,20.603528
8,544,por,6612,0.0120124266,1.201243,120020,21.804771
9,545,los,6455,0.0117271951,1.172720,126475,22.977490
10,546,se,6291,0.0114292462,1.142925,132766,24.120415
11,547,lo,5439,0.0098813655,0.988137,138205,25.108551
12,548,me,4856,0.0088221936,0.882219,143061,25.990771
13,549,las,4855,0.0088203768,0.882038,147916,26.872809
14,550,su,4836,0.0087858583,0.878586,152752,27.751394
15,551,le,4348,0.0078992787,0.789928,157100,28.541322
16,552,es,4084,0.0074196537,0.741965,161184,29.283288
17,553,mi,3917,0.0071162546,0.711625,165101,29.994913
18,554,yo,3571,0.0064876551,0.648766,168672,30.643679
19,555,del,3437,0.0062442091,0.624421,172109,31.268099
20,556,más,3379,0.0061388369,0.613884,175488,31.881983
21,557,como,3355,0.0060952346,0.609523,178843,32.491507
22,558,si,3211,0.0058336210,0.583362,182054,33.074869
23,559,don,2970,0.0053957815,0.539578,185024,33.614447
24,560,al,2545,0.0046236579,0.462366,187569,34.076813
25,561,un,2494,0.0045310030,0.453100,190063,34.529913
26,562,para,2415,0.0043874789,0.438748,192478,34.968661
27,563,quijote,2241,0.0040713624,0.407136,194719,35.375797
28,564,qué,2187,0.0039732573,0.397326,196906,35.773123
29,565,sancho,2174,0.0039496394,0.394964,199080,36.168087
30,566,porque,2029,0.0036862090,0.368621,201109,36.536708
31,567,ni,2003,0.0036389732,0.363897,203112,36.900605
32,568,te,1950,0.0035426848,0.354268,205062,37.254873
33,569,dijo,1898,0.0034482132,0.344821,206960,37.599695
34,570,tan,1849,0.0033591919,0.335919,208809,37.935614
35,571,él,1828,0.0033210399,0.332104,210637,38.267718
36,572,pues,1741,0.0031629817,0.316298,212378,38.584016
37,573,todo,1705,0.0030975783,0.309758,214083,38.893774
38,574,sin,1694,0.0030775939,0.307759,215777,39.201533
39,575,bien,1679,0.0030503425,0.305034,217456,39.506568
40,576,señor,1653,0.0030031067,0.300311,219109,39.806878
41,577,una,1604,0.0029140854,0.291409,220713,40.098287
42,578,ha,1602,0.0029104518,0.291045,222315,40.389332
43,579,sus,1563,0.0028395981,0.283960,223878,40.673292
44,580,ser,1496,0.0027178751,0.271788,225374,40.945079
45,581,tu,1414,0.0025689007,0.256890,226788,41.201969
46,582,ya,1353,0.0024580782,0.245808,228141,41.447777
