Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
1,537,de,7071274,0.0831546027,8.315460,7071274,8.315460
2,538,la,3899211,0.0458527476,4.585275,10970485,12.900735
3,539,en,2993401,0.0352008805,3.520088,13963886,16.420823
4,540,el,2911005,0.0342319452,3.423195,16874891,19.844018
5,541,que,1663922,0.0195668804,1.956688,18538813,21.800706
6,542,los,1445667,0.0170003121,1.700031,19984480,23.500737
7,543,del,1301217,0.0153016532,1.530165,21285697,25.030902
8,544,se,1153304,0.0135622712,1.356227,22439001,26.387129
9,545,las,926061,0.0108900086,1.089001,23365062,27.476130
10,546,por,907125,0.0106673308,1.066733,24272187,28.542863
11,547,un,853315,0.0100345525,1.003455,25125502,29.546318
12,548,con,816025,0.0095960409,0.959604,25941527,30.505923
13,549,una,749894,0.0088183738,0.881837,26691421,31.387760
14,550,su,674822,0.0079355651,0.793557,27366243,32.181316
15,551,como,565671,0.0066520046,0.665200,27931914,32.846517
16,552,para,529731,0.0062293684,0.622937,28461645,33.469454
17,553,al,513648,0.0060402405,0.604024,28975293,34.073478
18,554,es,499030,0.0058683402,0.586834,29474323,34.660312
19,555,más,348586,0.0040991949,0.409919,29822909,35.070231
20,556,no,325118,0.0038232231,0.382322,30148027,35.452554
21,557,fue,293378,0.0034499768,0.344998,30441405,35.797551
22,558,lo,243970,0.0028689637,0.286896,30685375,36.084448
23,559,sus,234684,0.0027597650,0.275977,30920059,36.360424
24,560,entre,213007,0.0025048545,0.250485,31133066,36.610910
25,561,también,201114,0.0023649988,0.236500,31334180,36.847410
26,562,este,169126,0.0019888361,0.198884,31503306,37.046293
27,563,son,157977,0.0018577296,0.185773,31661283,37.232066
28,564,sobre,135876,0.0015978330,0.159783,31797159,37.391849
29,565,esta,134030,0.0015761250,0.157612,31931189,37.549462
30,566,dos,131334,0.0015444214,0.154442,32062523,37.703904
31,567,desde,129440,0.0015221489,0.152215,32191963,37.856119
32,568,pero,128410,0.0015100366,0.151004,32320373,38.007123
33,569,años,127851,0.0015034630,0.150346,32448224,38.157469
34,570,durante,124983,0.0014697368,0.146974,32573207,38.304443
35,571,parte,120252,0.0014141026,0.141410,32693459,38.445853
36,572,sin,118848,0.0013975923,0.139759,32812307,38.585612
37,573,hasta,118226,0.0013902779,0.139028,32930533,38.724640
38,574,ciudad,116809,0.0013736147,0.137361,33047342,38.862001
39,575,ser,114338,0.0013445570,0.134456,33161680,38.996457
40,576,ha,108814,0.0012795976,0.127960,33270494,39.124417
41,577,le,105946,0.0012458713,0.124587,33376440,39.249004
42,578,era,101454,0.0011930477,0.119305,33477894,39.368309
43,579,donde,95990,0.0011287938,0.112879,33573884,39.481188
44,580,gran,94639,0.0011129067,0.111291,33668523,39.592479
45,581,año,94402,0.0011101197,0.111012,33762925,39.703491
46,582,siglo,94331,0.0011092848,0.110928,33857256,39.814419
47,583,cuando,91970,0.0010815206,0.108152,33949226,39.922571
48,584,otros,87374,0.0010274740,0.102747,34036600,40.025319
49,585,después,86298,0.0010148208,0.101482,34122898,40.126801
50,586,ya,84767,0.0009968170,0.099682,34207665,40.226482
51,587,está,83295,0.0009795070,0.097951,34290960,40.324433
52,588,primera,81622,0.0009598334,0.095983,34372582,40.420416
53,589,the,81399,0.0009572110,0.095721,34453981,40.516138
54,590,puede,80194,0.0009430408,0.094304,34534175,40.610442
55,591,san,80015,0.0009409359,0.094094,34614190,40.704535
56,592,así,77310,0.0009091265,0.090913,34691500,40.795448
57,593,había,76102,0.0008949210,0.089492,34767602,40.884940
58,594,forma,75295,0.0008854311,0.088543,34842897,40.973483
59,595,aunque,71532,0.0008411801,0.084118,34914429,41.057601
60,596,estado,71411,0.0008397572,0.083976,34985840,41.141577
61,597,uno,70069,0.0008239760,0.082398,35055909,41.223974
62,598,tiene,69212,0.0008138981,0.081390,35125121,41.305364
63,599,mayor,68892,0.0008101350,0.081014,35194013,41.386378
64,600,guerra,68842,0.0008095471,0.080955,35262855,41.467332
65,601,fueron,68540,0.0008059957,0.080600,35331395,41.547932
66,602,si,68442,0.0008048433,0.080484,35399837,41.628416
67,603,muy,68171,0.0008016565,0.080166,35468008,41.708582
68,604,tras,66327,0.0007799719,0.077997,35534335,41.786579
69,605,primer,66172,0.0007781492,0.077815,35600507,41.864394
70,606,gobierno,66040,0.0007765970,0.077660,35666547,41.942054
71,607,mismo,65866,0.0007745508,0.077455,35732413,42.019509
72,608,historia,65665,0.0007721872,0.077219,35798078,42.096728
73,609,tres,64100,0.0007537836,0.075378,35862178,42.172106
74,610,además,63380,0.0007453167,0.074532,35925558,42.246638
75,611,vez,62978,0.0007405894,0.074059,35988536,42.320697
76,612,nacional,62902,0.0007396957,0.073970,36051438,42.394666
77,613,todo,61784,0.0007265486,0.072655,36113222,42.467321
78,614,nombre,61297,0.0007208217,0.072082,36174519,42.539403
79,615,estados,60797,0.0007149419,0.071494,36235316,42.610897
80,616,han,60673,0.0007134838,0.071348,36295989,42.682246
81,617,solo,59933,0.0007047817,0.070478,36355922,42.752724
82,618,general,59105,0.0006950449,0.069504,36415027,42.822228
83,619,cada,57633,0.0006777349,0.067773,36472660,42.890002
84,620,lugar,57195,0.0006725842,0.067258,36529855,42.957260
85,621,país,57035,0.0006707027,0.067070,36586890,43.024331
86,622,otras,56105,0.0006597664,0.065977,36642995,43.090307
87,623,embargo,55651,0.0006544276,0.065443,36698646,43.155750
88,624,tiempo,55348,0.0006508645,0.065086,36753994,43.220836
89,625,según,55121,0.0006481951,0.064820,36809115,43.285656
90,626,españa,54928,0.0006459255,0.064593,36864043,43.350249
91,627,cual,54833,0.0006448083,0.064481,36918876,43.414729
92,628,estos,54700,0.0006432443,0.064324,36973576,43.479054
93,629,tanto,54098,0.0006361651,0.063617,37027674,43.542670
94,630,contra,53719,0.0006317082,0.063171,37081393,43.605841
95,631,algunos,53607,0.0006303912,0.063039,37135000,43.668880
96,632,todos,53176,0.0006253228,0.062532,37188176,43.731413
97,633,mientras,52051,0.0006120934,0.061209,37240227,43.792622
98,634,bajo,51584,0.0006066017,0.060660,37291811,43.853282
99,635,sido,51401,0.0006044497,0.060445,37343212,43.913727
100,636,sistema,51196,0.0006020390,0.060204,37394408,43.973931
101,637,hacia,50450,0.0005932665,0.059327,37444858,44.033258
102,638,nueva,49723,0.0005847173,0.058472,37494581,44.091729
103,639,vida,49076,0.0005771089,0.057711,37543657,44.149440
104,640,pueden,48910,0.0005751568,0.057516,37592567,44.206956
105,641,mundo,48532,0.0005707118,0.057071,37641099,44.264027
106,642,población,48458,0.0005698416,0.056984,37689557,44.321011
107,643,unidos,48404,0.0005692065,0.056921,37737961,44.377932
108,644,estadounidense,47933,0.0005636678,0.056367,37785894,44.434299
109,645,norte,47637,0.0005601870,0.056019,37833531,44.490317
110,646,sur,47179,0.0005548012,0.055480,37880710,44.545797
111,647,of,46829,0.0005506853,0.055069,37927539,44.600866
112,648,ese,46712,0.0005493095,0.054931,37974251,44.655797
113,649,día,46461,0.0005463578,0.054636,38020712,44.710433
114,650,español,46021,0.0005411837,0.054118,38066733,44.764551
115,651,grupo,45914,0.0005399254,0.053993,38112647,44.818544
116,652,debido,45596,0.0005361859,0.053619,38158243,44.872162
117,653,nuevo,45333,0.0005330931,0.053309,38203576,44.925472
118,654,río,44071,0.0005182527,0.051825,38247647,44.977297
119,655,partido,43877,0.0005159713,0.051597,38291524,45.028894
120,656,esto,43816,0.0005152540,0.051525,38335340,45.080419
121,657,antes,43779,0.0005148189,0.051482,38379119,45.131901
122,658,hay,43592,0.0005126199,0.051262,38422711,45.183163
123,659,juan,43237,0.0005084452,0.050845,38465948,45.234008
124,660,otro,42574,0.0005006487,0.050065,38508522,45.284073
125,661,rey,42481,0.0004995551,0.049956,38551003,45.334028
126,662,quien,42247,0.0004968033,0.049680,38593250,45.383708
127,663,número,41581,0.0004889715,0.048897,38634831,45.432606
128,664,presidente,41466,0.0004876192,0.048762,38676297,45.481367
129,665,siendo,41431,0.0004872076,0.048721,38717728,45.530088
130,666,centro,41400,0.0004868430,0.048684,38759128,45.578773
131,667,estas,41373,0.0004865255,0.048653,38800501,45.627425
132,668,junto,40576,0.0004771532,0.047715,38841077,45.675140
133,669,entonces,39849,0.0004686041,0.046860,38880926,45.722001
134,670,ejemplo,39526,0.0004648058,0.046481,38920452,45.768481
135,671,segunda,39051,0.0004592200,0.045922,38959503,45.814403
136,672,personas,38343,0.0004508943,0.045089,38997846,45.859493
137,673,obra,37925,0.0004459788,0.044598,39035771,45.904091
138,674,josé,37856,0.0004451674,0.044517,39073627,45.948607
139,675,varios,37471,0.0004406400,0.044064,39111098,45.992671
140,676,él,37202,0.0004374767,0.043748,39148300,46.036419
141,677,universidad,37183,0.0004372533,0.043725,39185483,46.080144
142,678,zona,36635,0.0004308091,0.043081,39222118,46.123225
143,679,cuenta,36520,0.0004294567,0.042946,39258638,46.166171
144,680,julio,36482,0.0004290099,0.042901,39295120,46.209072
145,681,referencias,36461,0.0004287629,0.042876,39331581,46.251948
146,682,poder,36436,0.0004284689,0.042847,39368017,46.294795
147,683,muchos,36432,0.0004284219,0.042842,39404449,46.337637
148,684,provincia,36332,0.0004272459,0.042725,39440781,46.380362
149,685,grandes,36001,0.0004233535,0.042335,39476782,46.422697
150,686,política,35859,0.0004216837,0.042168,39512641,46.464866
151,687,estaba,35560,0.0004181676,0.041817,39548201,46.506682
152,688,región,35430,0.0004166389,0.041664,39583631,46.548346
153,689,cuatro,35242,0.0004144281,0.041443,39618873,46.589789
154,690,están,35224,0.0004142164,0.041422,39654097,46.631211
155,691,otra,35013,0.0004117352,0.041174,39689110,46.672384
156,692,mundial,34948,0.0004109708,0.041097,39724058,46.713481
157,693,final,34743,0.0004085601,0.040856,39758801,46.754337
158,694,dentro,34661,0.0004075958,0.040760,39793462,46.795097
159,695,tipo,34571,0.0004065375,0.040654,39828033,46.835751
160,696,través,34163,0.0004017396,0.040174,39862196,46.875925
161,697,países,34130,0.0004013515,0.040135,39896326,46.916060
162,698,serie,34034,0.0004002226,0.040022,39930360,46.956082
163,699,encuentra,34028,0.0004001521,0.040015,39964388,46.996097
164,700,luego,33995,0.0003997640,0.039976,39998383,47.036074
165,701,bien,33647,0.0003956717,0.039567,40032030,47.075641
166,702,algunas,33471,0.0003936020,0.039360,40065501,47.115001
167,703,menos,33459,0.0003934609,0.039346,40098960,47.154347
168,704,mayo,33282,0.0003913795,0.039138,40132242,47.193485
169,705,eran,33192,0.0003903211,0.039032,40165434,47.232517
170,706,mayoría,33154,0.0003898743,0.038987,40198588,47.271505
171,707,época,33051,0.0003886630,0.038866,40231639,47.310371
172,708,méxico,32963,0.0003876282,0.038763,40264602,47.349134
173,709,partir,32723,0.0003848059,0.038481,40297325,47.387614
174,710,uso,32460,0.0003817132,0.038171,40329785,47.425786
175,711,internacional,32440,0.0003814780,0.038148,40362225,47.463933
176,712,importante,32430,0.0003813604,0.038136,40394655,47.502069
177,713,principal,32374,0.0003807019,0.038070,40427029,47.540140
178,714,tuvo,32348,0.0003803961,0.038040,40459377,47.578179
179,715,enlaces,32341,0.0003803138,0.038031,40491718,47.616211
180,716,tienen,32023,0.0003765743,0.037657,40523741,47.653868
181,717,caso,31983,0.0003761039,0.037610,40555724,47.691478
182,718,medio,31783,0.0003737520,0.037375,40587507,47.728854
183,719,desarrollo,31731,0.0003731405,0.037314,40619238,47.766168
184,720,muerte,31666,0.0003723761,0.037238,40650904,47.803405
185,721,millones,31619,0.0003718234,0.037182,40682523,47.840588
186,722,unos,31523,0.0003706945,0.037069,40714046,47.877657
187,723,real,31452,0.0003698596,0.036986,40745498,47.914643
188,724,externos,31234,0.0003672960,0.036730,40776732,47.951373
189,725,ellos,31051,0.0003651440,0.036514,40807783,47.987887
190,726,octubre,30996,0.0003644973,0.036450,40838779,48.024337
191,727,político,30983,0.0003643444,0.036434,40869762,48.060771
192,728,septiembre,30820,0.0003624276,0.036243,40900582,48.097014
193,729,obras,30789,0.0003620631,0.036206,40931371,48.133220
194,730,santa,30490,0.0003585470,0.035855,40961861,48.169075
195,731,agua,30439,0.0003579472,0.035795,40992300,48.204870
196,732,diciembre,30150,0.0003545487,0.035455,41022450,48.240325
197,733,enero,30074,0.0003536550,0.035366,41052524,48.275690
198,734,iglesia,30011,0.0003529142,0.035291,41082535,48.310982
199,735,reino,29973,0.0003524673,0.035247,41112508,48.346228
200,736,junio,29855,0.0003510797,0.035108,41142363,48.381336
201,737,manera,29780,0.0003501977,0.035020,41172143,48.416356
202,738,todas,29758,0.0003499390,0.034994,41201901,48.451350
203,739,marzo,29755,0.0003499037,0.034990,41231656,48.486340
204,740,francia,29606,0.0003481516,0.034815,41261262,48.521155
205,741,poco,29583,0.0003478811,0.034788,41290845,48.555944
206,742,república,29547,0.0003474578,0.034746,41320392,48.590689
207,743,ii,29540,0.0003473754,0.034738,41349932,48.625427
208,744,tierra,29520,0.0003471403,0.034714,41379452,48.660141
209,745,largo,29174,0.0003430715,0.034307,41408626,48.694448
210,746,segundo,29154,0.0003428363,0.034284,41437780,48.728732
211,747,película,28962,0.0003405785,0.034058,41466742,48.762790
212,748,madrid,28948,0.0003404138,0.034041,41495690,48.796831
213,749,hace,28930,0.0003402022,0.034020,41524620,48.830851
214,750,ejército,28833,0.0003390615,0.033906,41553453,48.864757
215,751,capital,28823,0.0003389439,0.033894,41582276,48.898652
216,752,mediante,28786,0.0003385088,0.033851,41611062,48.932503
217,753,abril,28570,0.0003359687,0.033597,41639632,48.966099
218,754,diferentes,28570,0.0003359687,0.033597,41668202,48.999696
219,755,isla,28553,0.0003357688,0.033577,41696755,49.033273
220,756,familia,28502,0.0003351691,0.033517,41725257,49.066790
221,757,inglés,28394,0.0003338991,0.033390,41753651,49.100180
222,758,casa,28365,0.0003335580,0.033356,41782016,49.133536
223,759,punto,28312,0.0003329348,0.033293,41810328,49.166829
224,760,agosto,28304,0.0003328407,0.033284,41838632,49.200113
225,761,trabajo,28142,0.0003309357,0.033094,41866774,49.233207
226,762,equipo,28118,0.0003306534,0.033065,41894892,49.266272
227,763,varias,28100,0.0003304418,0.033044,41922992,49.299316
228,764,noviembre,28059,0.0003299596,0.032996,41951051,49.332312
229,765,música,28004,0.0003293129,0.032931,41979055,49.365244
230,766,hecho,27933,0.0003284779,0.032848,42006988,49.398091
231,767,origen,27811,0.0003270433,0.032704,42034799,49.430796
232,768,militar,27593,0.0003244797,0.032448,42062392,49.463244
233,769,momento,27390,0.0003220925,0.032209,42089782,49.495453
234,770,mejor,27324,0.0003213164,0.032132,42117106,49.527585
235,771,ante,27289,0.0003209048,0.032090,42144395,49.559675
236,772,principales,27004,0.0003175534,0.031755,42171399,49.591430
237,773,tenía,26941,0.0003168125,0.031681,42198340,49.623112
238,774,francés,26746,0.0003145194,0.031452,42225086,49.654564
239,775,ley,26680,0.0003137433,0.031374,42251766,49.685938
240,776,primeros,26547,0.0003121793,0.031218,42278313,49.717156
241,777,frente,26544,0.0003121440,0.031214,42304857,49.748370
242,778,argentina,26521,0.0003118735,0.031187,42331378,49.779558
243,779,nivel,26499,0.0003116148,0.031161,42357877,49.810719
244,780,toda,26485,0.0003114502,0.031145,42384362,49.841864
245,781,orden,26446,0.0003109916,0.031099,42410808,49.872963
246,782,días,26302,0.0003092982,0.030930,42437110,49.903893
247,783,febrero,26297,0.0003092394,0.030924,42463407,49.934817
248,784,española,26146,0.0003074637,0.030746,42489553,49.965563
249,785,carlos,26066,0.0003065230,0.030652,42515619,49.996216
250,786,misma,25877,0.0003043004,0.030430,42541496,50.026646
251,787,hizo,25769,0.0003030304,0.030303,42567265,50.056949
252,788,veces,25756,0.0003028775,0.030288,42593021,50.087237
253,789,maría,25706,0.0003022895,0.030229,42618727,50.117466
