LexiCorpus,Tamano,FuenteEvaluada,OcurrenciasTotales,OcurrenciasCubiertas,OcurrenciasFuera,CoberturaPorcentaje
Completo,20000,literatura_clasica,550430,455676,94754,82.785459
Completo,20000,scielo,38538532,34069766,4468766,88.404421
Completo,20000,redalyc,31685970,28566581,3119389,90.155299
Completo,20000,wikipedia_es,85037674,75794019,9243655,89.129930
Completo,20000,wikinews_es,3057504,2785244,272260,91.095351
Completo,20000,completo,158870110,141671286,17198824,89.174286
Completo,30000,literatura_clasica,550430,470703,79727,85.515506
Completo,30000,scielo,38538532,35125371,3413161,91.143511
Completo,30000,redalyc,31685970,29308634,2377336,92.497197
Completo,30000,wikipedia_es,85037674,78014169,7023505,91.740714
Completo,30000,wikinews_es,3057504,2854872,202632,93.372633
Completo,30000,completo,158870110,145773749,13096361,91.756561
Completo,40000,literatura_clasica,550430,481591,68839,87.493596
Completo,40000,scielo,38538532,35755342,2783190,92.778163
Completo,40000,redalyc,31685970,29752170,1933800,93.896983
Completo,40000,wikipedia_es,85037674,79356725,5680949,93.319492
Completo,40000,wikinews_es,3057504,2896653,160851,94.739140
Completo,40000,completo,158870110,148242481,10627629,93.310492
Completo,50000,literatura_clasica,550430,489835,60595,88.991334
Completo,50000,scielo,38538532,36190956,2347576,93.908497
Completo,50000,redalyc,31685970,30052467,1633503,94.844712
Completo,50000,wikipedia_es,85037674,80248841,4788833,94.368575
Completo,50000,wikinews_es,3057504,2923558,133946,95.619106
Completo,50000,completo,158870110,149905657,8964453,94.357370
Completo,65000,literatura_clasica,550430,498984,51446,90.653489
Completo,65000,scielo,38538532,36634605,1903927,95.059679
Completo,65000,redalyc,31685970,30360261,1325709,95.816101
Completo,65000,wikipedia_es,85037674,81153333,3884341,95.432212
Completo,65000,wikinews_es,3057504,2949809,107695,96.477682
Completo,65000,completo,158870110,151596992,7273118,95.421972
