Fuente,TamanoSolicitado,VocabularioDisponible,TerminosSeleccionados,TokenInicial,TokenFinal,OcurrenciasTotales,OcurrenciasCubiertas,OcurrenciasFuera,CoberturaPorcentaje,CSV
literatura_clasica,20000,29405,20000,536,20535,550430,541025,9405,98.291336,reports/lexicorpus/v1_5/LexiCorpus_20000_Literatura_Clasica.csv
literatura_clasica,30000,29405,29405,536,29940,550430,550430,0,100.000000,reports/lexicorpus/v1_5/LexiCorpus_30000_Literatura_Clasica.csv
literatura_clasica,40000,29405,29405,536,29940,550430,550430,0,100.000000,reports/lexicorpus/v1_5/LexiCorpus_40000_Literatura_Clasica.csv
literatura_clasica,50000,29405,29405,536,29940,550430,550430,0,100.000000,reports/lexicorpus/v1_5/LexiCorpus_50000_Literatura_Clasica.csv
literatura_clasica,65000,29405,29405,536,29940,550430,550430,0,100.000000,reports/lexicorpus/v1_5/LexiCorpus_65000_Literatura_Clasica.csv
scielo,20000,494305,20000,536,20535,38538532,34779515,3759017,90.246082,reports/lexicorpus/v1_5/LexiCorpus_20000_SciELO.csv
scielo,30000,494305,30000,536,30535,38538532,35741358,2797174,92.741877,reports/lexicorpus/v1_5/LexiCorpus_30000_SciELO.csv
scielo,40000,494305,40000,536,40535,38538532,36317188,2221344,94.236044,reports/lexicorpus/v1_5/LexiCorpus_40000_SciELO.csv
scielo,50000,494305,50000,536,50535,38538532,36703808,1834724,95.239248,reports/lexicorpus/v1_5/LexiCorpus_50000_SciELO.csv
scielo,65000,494305,65000,536,65535,38538532,37095718,1442814,96.256178,reports/lexicorpus/v1_5/LexiCorpus_65000_SciELO.csv
redalyc,20000,425792,20000,536,20535,31685970,29002313,2683657,91.530457,reports/lexicorpus/v1_5/LexiCorpus_20000_RedALyC.csv
redalyc,30000,425792,30000,536,30535,31685970,29707867,1978103,93.757164,reports/lexicorpus/v1_5/LexiCorpus_30000_RedALyC.csv
redalyc,40000,425792,40000,536,40535,31685970,30129429,1556541,95.087602,reports/lexicorpus/v1_5/LexiCorpus_40000_RedALyC.csv
redalyc,50000,425792,50000,536,50535,31685970,30413174,1272796,95.983093,reports/lexicorpus/v1_5/LexiCorpus_50000_RedALyC.csv
redalyc,65000,425792,65000,536,65535,31685970,30698752,987218,96.884369,reports/lexicorpus/v1_5/LexiCorpus_65000_RedALyC.csv
wikipedia_es,20000,849233,20000,536,20535,85037674,76551675,8485999,90.020895,reports/lexicorpus/v1_5/LexiCorpus_20000_Wikipedia.csv
wikipedia_es,30000,849233,30000,536,30535,85037674,78681793,6355881,92.525806,reports/lexicorpus/v1_5/LexiCorpus_30000_Wikipedia.csv
wikipedia_es,40000,849233,40000,536,40535,85037674,79944222,5093452,94.010358,reports/lexicorpus/v1_5/LexiCorpus_40000_Wikipedia.csv
wikipedia_es,50000,849233,50000,536,50535,85037674,80789776,4247898,95.004687,reports/lexicorpus/v1_5/LexiCorpus_50000_Wikipedia.csv
wikipedia_es,65000,849233,65000,536,65535,85037674,81636633,3401041,96.000548,reports/lexicorpus/v1_5/LexiCorpus_65000_Wikipedia.csv
wikinews_es,20000,95641,20000,536,20535,3057504,2896712,160792,94.741070,reports/lexicorpus/v1_5/LexiCorpus_20000_Wikinoticias.csv
wikinews_es,30000,95641,30000,536,30535,3057504,2954267,103237,96.623488,reports/lexicorpus/v1_5/LexiCorpus_30000_Wikinoticias.csv
wikinews_es,40000,95641,40000,536,40535,3057504,2987427,70077,97.708032,reports/lexicorpus/v1_5/LexiCorpus_40000_Wikinoticias.csv
wikinews_es,50000,95641,50000,536,50535,3057504,3007851,49653,98.376028,reports/lexicorpus/v1_5/LexiCorpus_50000_Wikinoticias.csv
wikinews_es,65000,95641,65000,536,65535,3057504,3026863,30641,98.997843,reports/lexicorpus/v1_5/LexiCorpus_65000_Wikinoticias.csv
completo,20000,1274720,20000,536,20535,158870110,141671286,17198824,89.174286,reports/lexicorpus/v1_5/LexiCorpus_20000_Completo.csv
completo,30000,1274720,30000,536,30535,158870110,145773749,13096361,91.756561,reports/lexicorpus/v1_5/LexiCorpus_30000_Completo.csv
completo,40000,1274720,40000,536,40535,158870110,148242481,10627629,93.310492,reports/lexicorpus/v1_5/LexiCorpus_40000_Completo.csv
completo,50000,1274720,50000,536,50535,158870110,149905657,8964453,94.357370,reports/lexicorpus/v1_5/LexiCorpus_50000_Completo.csv
completo,65000,1274720,65000,536,65535,158870110,151596992,7273118,95.421972,reports/lexicorpus/v1_5/LexiCorpus_65000_Completo.csv
